CurrencyKey	DateKey	AverageRate	EndOfDayRate	Date	CurrencyAlternateKey
36	20101229	1,0312467773538201	1,03060908997217	2010-12-29 00:00:00	EUR
36	20101230	1,0334849111202999	1,0341261633919301	2010-12-30 00:00:00	EUR
36	20101231	1,04058272632674	1,0400416016640699	2010-12-31 00:00:00	EUR
36	20110101	1,0398253093480301	1,0398253093480301	2011-01-01 00:00:00	EUR
36	20110102	1,03050288540808	1,02976006590464	2011-01-02 00:00:00	EUR
36	20110103	1,02901831652603	1,02933607822954	2011-01-03 00:00:00	EUR
36	20110104	1,0300782859497299	1,02923013585838	2011-01-04 00:00:00	EUR
36	20110105	1,0312467773538201	1,03199174406605	2011-01-05 00:00:00	EUR
36	20110106	1,0312467773538201	1,0302905419328201	2011-01-06 00:00:00	EUR
36	20110107	1,0231225700839	1,02354145342886	2011-01-07 00:00:00	EUR
36	20110108	1,01916021198532	1,01916021198532	2011-01-08 00:00:00	EUR
36	20110109	1,0137875101378799	1,0143016533117	2011-01-09 00:00:00	EUR
36	20110110	1,0170870626525601	1,01688021151108	2011-01-10 00:00:00	EUR
36	20110111	1,0153315057366199	1,0158472165786301	2011-01-11 00:00:00	EUR
36	20110112	1,0111223458038401	1,0104071940992201	2011-01-12 00:00:00	EUR
36	20110113	1,0084711577248899	1,00938730190774	2011-01-13 00:00:00	EUR
36	20110114	1,0092854259184501	1,00897992129957	2011-01-14 00:00:00	EUR
36	20110115	1,00603621730382	1,00613743837408	2011-01-15 00:00:00	EUR
36	20110116	1,0014019627478501	1,001001001001	2011-01-16 00:00:00	EUR
36	20110117	1,00200400801603	1,00270730973629	2011-01-17 00:00:00	EUR
36	20110118	1,0025062656641599	1,0023053021950501	2011-01-18 00:00:00	EUR
36	20110119	1,01502233049127	1,0154346060113699	2011-01-19 00:00:00	EUR
36	20110120	1,0225994477963001	1,02228583111838	2011-01-20 00:00:00	EUR
36	20110121	1,02480016396803	1,0252204223908099	2011-01-21 00:00:00	EUR
36	20110122	1,0214504596527101	1,02092904543134	2011-01-22 00:00:00	EUR
36	20110123	1,01502233049127	1,01553772722657	2011-01-23 00:00:00	EUR
36	20110124	1,0132738879319101	1,0132738879319101	2011-01-24 00:00:00	EUR
36	20110125	1,0131712259371799	1,0137875101378799	2011-01-25 00:00:00	EUR
36	20110126	1,0124531740406999	1,01163378856854	2011-01-26 00:00:00	EUR
36	20110127	1,00613743837408	1,00644122383253	2011-01-27 00:00:00	EUR
36	20110128	1,00351229302559	1,00331092605598	2011-01-28 00:00:00	EUR
36	20110129	1,01440454453236	1,0148163182464001	2011-01-29 00:00:00	EUR
36	20110130	1,0216591744993899	1,0207206287639099	2011-01-30 00:00:00	EUR
36	20110131	1,0074551682450099	1,0082677959266	2011-01-31 00:00:00	EUR
36	20110201	1,00816614578082	1,0075566750629701	2011-02-01 00:00:00	EUR
36	20110202	1,00816614578082	1,00836946657255	2011-02-02 00:00:00	EUR
36	20110203	1,0094891984655801	1,0087763542822601	2011-02-03 00:00:00	EUR
36	20110204	1,00806451612903	1,00836946657255	2011-02-04 00:00:00	EUR
36	20110205	1,00918357049147	1,00918357049147	2011-02-05 00:00:00	EUR
36	20110206	1,0132738879319101	1,0133765707336799	2011-02-06 00:00:00	EUR
36	20110207	1,0134792743488401	1,0131712259371799	2011-02-07 00:00:00	EUR
36	20110208	1,0124531740406999	1,01276078590237	2011-02-08 00:00:00	EUR
36	20110209	1,01276078590237	1,01224820325944	2011-02-09 00:00:00	EUR
36	20110210	1,01276078590237	1,01276078590237	2011-02-10 00:00:00	EUR
36	20110211	1,00684655658478	1,0067451927916999	2011-02-11 00:00:00	EUR
36	20110212	1,0041168792047399	1,00441944556047	2011-02-12 00:00:00	EUR
36	20110213	1,0041168792047399	1,00321027287319	2011-02-13 00:00:00	EUR
36	20110214	1,00715077047034	1,0077597500755799	2011-02-14 00:00:00	EUR
36	20110215	1,00553041729512	1,0053282396702501	2011-02-15 00:00:00	EUR
36	20110216	1,00542931831892	1,0058338362502499	2011-02-16 00:00:00	EUR
36	20110217	1,02564102564103	1,02480016396803	2011-02-17 00:00:00	EUR
36	20110218	1,03060908997217	1,0309278350515501	2011-02-18 00:00:00	EUR
36	20110219	1,03199174406605	1,0316723408645401	2011-02-19 00:00:00	EUR
36	20110220	1,0312467773538201	1,03209825575395	2011-02-20 00:00:00	EUR
36	20110221	1,02901831652603	1,02891243955139	2011-02-21 00:00:00	EUR
36	20110222	1,0295480284155301	1,03018440300814	2011-02-22 00:00:00	EUR
36	20110223	1,02901831652603	1,02870075095155	2011-02-23 00:00:00	EUR
36	20110224	1,0251153254741201	1,02585145670907	2011-02-24 00:00:00	EUR
36	20110225	1,0332713370531099	1,03295114141101	2011-02-25 00:00:00	EUR
36	20110226	1,03050288540808	1,0312467773538201	2011-02-26 00:00:00	EUR
36	20110227	1,0254306808859699	1,02480016396803	2011-02-27 00:00:00	EUR
